round,federated_evaluate_loss,federated_evaluate_mae
1,0.008555569608385364,0.06919639992217223
2,0.006985932122915983,0.06135576590895653
3,0.005709180220340689,0.05542405073841413
4,0.004739217188519736,0.05120409466326237
5,0.0041012259510656195,0.048518369595209755
